date,net_pnl,duration_seconds
2021-01-04,2159.26,159300.000
2021-01-05,-199.13,4140.000
2021-01-06,811.96,48240.000
2021-01-06,10277.34,210600.000
2021-01-09,-73.09,48600.000
2021-01-10,-5565.70,313200.000
2021-01-12,-303.54,16200.000
2021-01-13,891.31,38760.000
2021-01-13,-2972.69,297000.000
2021-01-15,-961.41,113400.000
2021-01-16,-188.44,11640.000
2021-01-17,-158.89,4020.000
2021-01-18,-153.68,29880.000
2021-01-21,-3781.53,496800.000
2021-01-21,3511.83,37800.000
2021-01-23,-84.65,43200.000
2021-01-24,-23.58,243000.000
2021-01-24,-127.49,18300.000
2021-01-25,534.97,40200.000
2021-01-27,-156.60,2340.000
2021-01-27,4042.69,291600.000
2021-01-28,-181.84,5640.000
2021-01-29,9725.56,153900.000
2021-01-31,-133.47,5460.000
2021-01-31,4397.34,194400.000
2021-02-01,-138.05,3240.000
2021-02-02,4234.64,151200.000
2021-02-04,-151.73,7620.000
2021-02-05,7.86,45900.000
2021-02-07,-7554.72,396900.000
2021-02-08,428.24,18960.000
2021-02-08,6034.42,137700.000
2021-02-10,-2740.11,167400.000
2021-02-11,753.55,81000.000
2021-02-11,522.97,30420.000
2021-02-13,-716.74,172800.000
2021-02-14,1200.38,48600.000
2021-02-14,348.66,16200.000
2021-02-15,858.30,94500.000
2021-02-15,-113.14,17160.000
2021-02-16,3471.51,89100.000
2021-02-17,521.45,39600.000
2021-02-19,324.02,25200.000
2021-02-22,-8398.47,521100.000
2021-02-24,-261.09,32460.000
2021-02-25,-172.49,9240.000
2021-02-25,-151.42,17040.000
2021-02-27,-175.78,9240.000
2021-02-27,-165.36,7200.000
2021-03-01,756.46,78540.000
2021-03-03,455.23,20160.000
2021-03-06,-160.92,31680.000
2021-03-07,400.57,39900.000
2021-03-07,-6002.85,1136700.000
2021-03-08,-119.91,1320.000
2021-03-12,110.67,56700.000
2021-03-12,-137.57,4800.000
2021-03-12,-5937.94,450900.000
2021-03-12,-141.67,7980.000
2021-03-13,404.22,12480.000
2021-03-13,3922.70,78300.000
2021-03-14,-439.66,86400.000
2021-03-17,-115.80,16740.000
2021-03-17,-109.54,9420.000
2021-03-17,-2120.73,288900.000
2021-03-18,121.46,56700.000
2021-03-19,-18.08,54000.000
2021-03-20,-75.57,44340.000
2021-03-22,-87.49,6780.000
2021-03-22,1873.90,432000.000
2021-03-23,-106.89,4920.000
2021-03-24,462.40,135000.000
2021-03-24,-136.80,34980.000
2021-03-24,3605.74,48600.000
2021-03-26,436.25,57540.000
2021-03-27,3597.46,240300.000
2021-03-28,1200.64,94500.000
2021-03-29,3163.22,54000.000
2021-03-30,41.10,59400.000
2021-03-31,-142.52,164700.000
2021-03-31,-109.53,15300.000
2021-04-01,-82.42,9480.000
2021-04-02,1691.54,156600.000
2021-04-02,-70.24,41040.000
2021-04-02,698.80,56700.000
2021-04-03,-55.92,15180.000
2021-04-05,-66.05,14940.000
2021-04-05,0.46,243000.000
2021-04-05,-83.11,8880.000
2021-04-06,1022.43,83700.000
2021-04-08,-72.78,1860.000
2021-04-09,48.30,70200.000
2021-04-09,585.22,245700.000
2021-04-10,-680.44,124200.000
2021-04-11,-102.48,16080.000
2021-04-12,-69.18,6600.000
2021-04-12,1302.45,110700.000
2021-04-13,236.56,27000.000
2021-04-16,-71.29,19380.000
2021-04-17,-82.74,5700.000
2021-04-18,5267.60,518400.000
2021-04-19,-112.49,20580.000
2021-04-20,-137.56,1860.000
2021-04-21,-29.22,35100.000
2021-04-22,-137.57,2940.000
2021-04-24,-127.46,15300.000
2021-04-27,232.16,94500.000
2021-04-27,-784.25,788400.000
2021-04-28,-90.94,1920.000
2021-04-28,-82.44,5700.000
2021-04-29,2268.53,210600.000
2021-04-30,310.88,28560.000
2021-04-30,4003.95,75600.000
2021-05-02,-1068.69,137700.000
2021-05-03,1468.50,78300.000
2021-05-03,19.96,48600.000
2021-05-04,2711.09,83700.000
2021-05-05,1774.80,135000.000
2021-05-05,451.22,11820.000
2021-05-06,1850.16,99900.000
2021-05-07,1902.96,64800.000
2021-05-07,-117.29,4980.000
2021-05-09,350.54,172800.000
2021-05-10,-85.72,27060.000
2021-05-12,-70.01,54000.000
2021-05-14,-143.30,7620.000
2021-05-16,-144.21,20100.000
2021-05-18,-192.28,26520.000
2021-05-20,-355.37,6780.000
2021-05-21,-237.61,16200.000
2021-05-22,-250.49,3360.000
2021-05-24,1058.65,49440.000
2021-05-25,-229.79,12420.000
2021-05-26,658.67,29160.000
2021-05-26,-21123.74,1447200.000
2021-05-27,-158.38,19440.000
2021-05-30,-165.52,24960.000
2021-05-31,8669.60,415800.000
2021-06-01,5269.29,81000.000
2021-06-01,199.23,67500.000
2021-06-01,-166.21,2940.000
2021-06-03,158.54,67500.000
2021-06-04,-548.63,264600.000
2021-06-05,-363.61,81000.000
2021-06-05,-125.30,24300.000
2021-06-05,2801.17,40500.000
2021-06-07,1134.86,137700.000
2021-06-07,-124.68,7680.000
2021-06-07,4776.81,70200.000
2021-06-09,688.72,30720.000
2021-06-10,8237.71,218700.000
2021-06-11,-157.49,3660.000
2021-06-12,5009.08,145800.000
2021-06-13,3260.33,135000.000
2021-06-13,402.56,17880.000
2021-06-16,-98.56,17160.000
2021-06-16,-4544.69,243000.000
2021-06-17,-90.61,5400.000
2021-06-21,-134.64,14160.000
2021-06-23,-297.94,11340.000
2021-06-24,-151.19,3240.000
2021-06-25,150.59,67500.000
2021-06-27,-12862.79,912600.000
2021-06-27,-190.54,34140.000
2021-06-30,-5460.21,267300.000
2021-07-02,-112.73,6600.000
2021-07-03,-93.91,6180.000
2021-07-03,-1309.08,275400.000
2021-07-03,220.47,51300.000
2021-07-04,2329.68,32400.000
2021-07-05,2194.85,67500.000
2021-07-06,491.91,94500.000
2021-07-06,-106.67,11580.000
2021-07-07,45.62,45900.000
2021-07-07,853.51,148500.000
2021-07-10,87.39,62100.000
2021-07-10,-1247.70,240300.000
2021-07-10,741.48,13500.000
2021-07-11,256.34,44220.000
2021-07-11,2294.85,91800.000
2021-07-12,1870.00,51300.000
2021-07-15,-108.63,46920.000
2021-07-16,-106.74,14400.000
2021-07-18,-42.84,24300.000
2021-07-18,-2883.36,480600.000
2021-07-19,-71.63,4500.000
2021-07-19,1721.72,118800.000
2021-07-21,-1790.24,153900.000
2021-07-21,398.02,32940.000
2021-07-23,263.84,9000.000
2021-07-27,-120.36,4920.000
2021-07-30,-63.90,18900.000
2021-07-30,-19080.32,793800.000
2021-07-30,4056.56,43200.000
2021-07-31,182.23,64800.000
2021-08-01,140.00,153900.000
2021-08-04,-3320.63,248400.000
2021-08-05,81.18,56700.000
2021-08-05,1500.28,72900.000
2021-08-06,1.33,40500.000
2021-08-06,7477.86,110700.000
2021-08-07,-1558.52,86400.000
2021-08-08,-117.02,1440.000
2021-08-09,3679.50,153900.000
2021-08-10,144.03,67500.000
2021-08-10,1372.54,105300.000
2021-08-11,-2.93,78300.000
2021-08-12,-82.12,2040.000
2021-08-13,1740.83,226800.000
2021-08-14,427.37,94200.000
2021-08-14,-686.88,99900.000
2021-08-15,-79.73,11820.000
2021-08-15,906.98,126900.000
2021-08-16,-92.60,6060.000
2021-08-16,1248.87,59400.000
2021-08-17,-99.08,4440.000
2021-08-18,-92.84,6240.000
2021-08-19,508.38,272700.000
2021-08-20,377.92,31080.000
2021-08-22,-2798.84,245700.000
2021-08-23,79.11,54000.000
2021-08-24,-57.67,5520.000
2021-08-26,-94.60,32820.000
2021-08-27,-86.63,4140.000
2021-08-27,-386.13,432000.000
2021-08-28,-875.36,75600.000
2021-08-29,564.81,48600.000
2021-08-29,-64.26,8100.000
2021-08-30,-64.61,3240.000
2021-09-01,-68.23,10200.000
2021-09-03,1079.40,429300.000
2021-09-03,271.48,20820.000
2021-09-04,-63.68,540.000
2021-09-05,-69.33,7680.000
2021-09-05,-54.52,3240.000
2021-09-05,3389.04,240300.000
2021-09-06,-822.22,59400.000
2021-09-06,1456.84,37800.000
2021-09-07,1956.45,40500.000
2021-09-09,-5682.33,186300.000
2021-09-09,-127.61,14760.000
2021-09-10,2512.40,91800.000
2021-09-11,-74.15,16320.000
2021-09-12,814.95,151200.000
2021-09-12,-76.58,3780.000
2021-09-13,-110.05,6900.000
2021-09-14,406.85,51960.000
2021-09-17,-73.74,19980.000
2021-09-18,1.01,45900.000
2021-09-18,-3270.99,558900.000
2021-09-19,-58.62,4680.000
2021-09-22,-6993.95,332100.000
2021-09-23,144.04,72900.000
2021-09-24,2628.56,153900.000
2021-09-27,4331.07,226800.000
2021-09-27,134.76,83700.000
2021-09-28,2854.75,78300.000
2021-09-29,-417.44,102600.000
2021-09-29,-97.40,31980.000
2021-10-01,441.34,106920.000
2021-10-05,539.94,95580.000
2021-10-06,-15267.09,623700.000
2021-10-06,4262.68,16200.000
2021-10-07,-55.68,5400.000
2021-10-08,304.97,4140.000
2021-10-09,26.56,48600.000
2021-10-12,280.32,86400.000
2021-10-12,-1745.28,529200.000
2021-10-14,89.46,56700.000
2021-10-15,4467.11,213300.000
2021-10-15,461.15,50820.000
2021-10-17,-74.95,5940.000
2021-10-17,-73.03,2880.000
2021-10-17,-74.12,840.000
2021-10-17,-77.23,2100.000
2021-10-17,-647.92,232200.000
2021-10-18,-132.96,28320.000
2021-10-19,2411.53,113400.000
2021-10-21,-1231.15,213300.000
2021-10-25,-2070.00,294300.000
2021-10-25,314.88,38280.000
2021-10-27,1430.54,164700.000
2021-10-28,565.92,126900.000
