date,total_equity,capital
2021-01-01,10000.00,10000.00
2021-01-02,9999.01,10000.00
2021-01-03,9999.05,10000.00
2021-01-04,9990.80,10000.00
2021-01-05,10043.45,10000.00
2021-01-06,10043.43,10000.00
2021-01-07,10043.55,10000.00
2021-01-08,10043.54,10000.00
2021-01-09,10043.73,10000.00
2021-01-10,10043.78,10000.00
2021-01-11,10044.04,10000.00
2021-01-12,10044.54,10000.00
2021-01-13,10045.45,10000.00
2021-01-14,10046.50,10000.00
2021-01-15,10047.56,10000.00
2021-01-16,10047.46,10000.00
2021-01-17,10047.78,10000.00
2021-01-18,10047.74,10000.00
2021-01-19,10047.31,10000.00
2021-01-20,10047.67,10000.00
2021-01-21,10049.28,10000.00
2021-01-22,10049.37,10000.00
2021-01-23,10049.29,10000.00
2021-01-24,10049.50,10000.00
2021-01-25,10049.20,10000.00
2021-01-26,10049.66,10000.00
2021-01-27,10049.62,10000.00
2021-01-28,10049.66,10000.00
2021-01-29,10049.62,10000.00
2021-01-30,10050.33,10000.00
2021-01-31,10049.42,10000.00
2021-02-01,10049.73,10000.00
2021-02-02,10050.33,10000.00
2021-02-03,10050.14,10000.00
2021-02-04,10050.02,10000.00
2021-02-05,10049.91,10000.00
2021-02-06,10049.53,10000.00
2021-02-07,10049.34,10000.00
2021-02-08,10049.85,10000.00
2021-02-09,10049.57,10000.00
2021-02-10,10048.40,10000.00
2021-02-11,10048.22,10000.00
2021-02-12,10048.45,10000.00
2021-02-13,10048.37,10000.00
2021-02-14,10048.37,10000.00
2021-02-15,10048.78,10000.00
2021-02-16,10050.93,10000.00
2021-02-17,10050.07,10000.00
2021-02-18,10051.15,10000.00
2021-02-19,10051.22,10000.00
2021-02-20,10050.91,10000.00
2021-02-21,10051.43,10000.00
2021-02-22,10051.03,10000.00
2021-02-23,10050.78,10000.00
2021-02-24,10050.53,10000.00
2021-02-25,10049.77,10000.00
2021-02-26,10049.75,10000.00
2021-02-27,10050.15,10000.00
2021-02-28,10050.07,10000.00
2021-03-01,10049.74,10000.00
2021-03-02,10050.23,10000.00
2021-03-03,10050.06,10000.00
2021-03-04,10048.94,10000.00
2021-03-05,10048.94,10000.00
2021-03-06,10049.02,10000.00
2021-03-07,10049.01,10000.00
2021-03-08,10048.79,10000.00
2021-03-09,10048.31,10000.00
2021-03-10,10046.95,10000.00
2021-03-11,10046.75,10000.00
2021-03-12,10047.04,10000.00
2021-03-13,10048.65,10000.00
2021-03-14,10050.74,10000.00
2021-03-15,10051.29,10000.00
2021-03-16,10050.85,10000.00
2021-03-17,10051.58,10000.00
2021-03-18,10053.98,10000.00
2021-03-19,10053.51,10000.00
2021-03-20,10054.56,10000.00
2021-03-21,10054.31,10000.00
2021-03-22,10054.69,10000.00
2021-03-23,10053.84,10000.00
2021-03-24,10054.90,10000.00
2021-03-25,10054.05,10000.00
2021-03-26,10054.05,10000.00
2021-03-27,10054.55,10000.00
2021-03-28,10053.72,10000.00
2021-03-29,10053.86,10000.00
2021-03-30,10054.95,10000.00
2021-03-31,10054.63,10000.00
2021-04-01,10055.07,10000.00
2021-04-02,10055.05,10000.00
2021-04-03,10054.76,10000.00
2021-04-04,10054.39,10000.00
2021-04-05,10054.76,10000.00
2021-04-06,10054.77,10000.00
2021-04-07,10054.63,10000.00
2021-04-08,10054.50,10000.00
2021-04-09,10054.53,10000.00
2021-04-10,10054.92,10000.00
2021-04-11,10056.25,10000.00
2021-04-12,10056.81,10000.00
2021-04-13,10056.48,10000.00
2021-04-14,10056.97,10000.00
2021-04-15,10057.06,10000.00
2021-04-16,10056.89,10000.00
2021-04-17,10056.90,10000.00
2021-04-18,10056.02,10000.00
2021-04-19,10056.97,10000.00
2021-04-20,10055.39,10000.00
2021-04-21,10054.83,10000.00
2021-04-22,10053.86,10000.00
2021-04-23,10054.40,10000.00
2021-04-24,10054.18,10000.00
2021-04-25,10054.11,10000.00
2021-04-26,10054.91,10000.00
2021-04-27,10054.99,10000.00
2021-04-28,10056.09,10000.00
2021-04-29,10055.91,10000.00
2021-04-30,10055.83,10000.00
2021-05-01,10055.85,10000.00
2021-05-02,10054.64,10000.00
2021-05-03,10055.26,10000.00
2021-05-04,10055.62,10000.00
2021-05-05,10055.44,10000.00
